week,hour,day,day_type,southbound,northbound
2,12,Mon,weekday,4871,4860
2,13,Mon,weekday,4926,5115
2,14,Mon,weekday,4866,5056
2,15,Mon,weekday,5741,6004
2,16,Mon,weekday,6332,6156
2,17,Mon,weekday,5661,6289
2,18,Mon,weekday,4287,4673
2,19,Mon,weekday,3181,3360
2,20,Mon,weekday,2517,2155
2,21,Mon,weekday,1885,1558
2,22,Mon,weekday,1267,1075
2,23,Mon,weekday,1067,707
2,0,Tues,weekday,829,508
2,1,Tues,weekday,700,264
2,2,Tues,weekday,376,291
2,3,Tues,weekday,342,472
2,4,Tues,weekday,551,1015
2,5,Tues,weekday,1443,1594
2,6,Tues,weekday,5495,3948
2,7,Tues,weekday,5004,6024
2,8,Tues,weekday,4904,6017
2,9,Tues,weekday,5945,5606
2,10,Tues,weekday,4577,5147
2,11,Tues,weekday,5028,4788
2,12,Tues,weekday,4878,4935
2,13,Tues,weekday,4966,5101
2,14,Tues,weekday,5004,5205
2,15,Tues,weekday,6080,6016
2,16,Tues,weekday,6379,6261
2,17,Tues,weekday,5881,6172
2,18,Tues,weekday,4621,5580
2,19,Tues,weekday,3360,3604
2,20,Tues,weekday,2357,2407
2,21,Tues,weekday,1929,1650
2,22,Tues,weekday,1377,1237
2,23,Tues,weekday,998,723
2,0,Wed,weekday,680,483
2,1,Wed,weekday,595,299
2,2,Wed,weekday,375,293
2,3,Wed,weekday,307,495
2,4,Wed,weekday,533,937
2,5,Wed,weekday,1379,1571
2,6,Wed,weekday,5130,3892
2,7,Wed,weekday,5510,5612
2,8,Wed,weekday,5354,5703
2,9,Wed,weekday,5543,5280
2,10,Wed,weekday,5287,4945
2,11,Wed,weekday,4790,5007
2,12,Wed,weekday,4969,5192
2,13,Wed,weekday,5231,5275
2,14,Wed,weekday,5178,5444
2,15,Wed,weekday,6114,6013
2,16,Wed,weekday,6293,6327
2,17,Wed,weekday,6098,5392
2,18,Wed,weekday,4747,5813
2,19,Wed,weekday,3666,3939
2,20,Wed,weekday,2554,2354
2,21,Wed,weekday,2014,1794
2,22,Wed,weekday,1473,1305
2,23,Wed,weekday,1056,860
2,0,Thurs,weekday,828,523
2,1,Thurs,weekday,563,300
2,2,Thurs,weekday,434,310
2,3,Thurs,weekday,319,515
2,4,Thurs,weekday,540,1060
2,5,Thurs,weekday,1461,1581
2,6,Thurs,weekday,5428,3852
2,7,Thurs,weekday,5844,5981
2,8,Thurs,weekday,5864,6011
2,9,Thurs,weekday,5643,5791
2,10,Thurs,weekday,4816,5008
2,11,Thurs,weekday,4776,4867
2,12,Thurs,weekday,5015,5212
2,13,Thurs,weekday,5264,5477
2,14,Thurs,weekday,5302,5664
2,15,Thurs,weekday,6249,6224
2,16,Thurs,weekday,6494,6166
2,17,Thurs,weekday,5963,5997
2,18,Thurs,weekday,4873,5885
